id	pass	pass_theme	name	problem	mechanism	donor	why_missed	benefit	friction	machine_cost	risks	test	related	related_ids	novelty	verdict
L001	1	Units and proof	Capability as the unit	[pass] learning is counted by exposure, not by demonstrated capability	the curriculum unit is a reusable mechanism, not a topic or a book	competency-based education; threshold concepts (Meyer & Land)	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Taste + mechanism; Alien curriculum generator	L457 O5208	KNOWN	S
L002	1	Units and proof	Predict before tell	[pass] learning is counted by exposure, not by demonstrated capability	every idea opens with a committed prediction	predict-observe-explain; productive failure (Kapur)	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Uncertainty sense; Surprise-weighted memory	O4709 L106	KNOWN	S
L003	1	Units and proof	Error as an address	[pass] learning is counted by exposure, not by demonstrated capability	each wrong option points to a named misconception with its repair	bug libraries in ITS (Brown & Burton, BUGGY)	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Debug a wrong explanation; Errors that teach	L048 L169	KNOWN	S
L004	1	Units and proof	Delayed proof	[pass] learning is counted by exposure, not by demonstrated capability	nothing counts as learned until shown unaided days later	retention tests; spacing research	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Quorum before "learned"; Grade-free record	L177 O4102	KNOWN	S
L005	1	Units and proof	Transfer as the only credit	[pass] learning is counted by exposure, not by demonstrated capability	a skill is credited only when used in a new domain	transfer assessment (Barnett & Ceci)	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Formalism on request; Discovered prerequisites	L350 L033	KNOWN	S
L006	1	Units and proof	Minimum effective dose	[pass] learning is counted by exposure, not by demonstrated capability	compute the smallest session that changes capability; stop there	time-boxing; none precise	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Metabolic dose; Stop as success	L073 O6318	KNOWN	S
L007	1	Units and proof	Confidence on every answer	[pass] learning is counted by exposure, not by demonstrated capability	the learner stakes a confidence; honesty is scored	certainty-based marking (Gardner-Medwin)	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Weather-forecast verification; Event journal	O6614 L149	KNOWN	S
L008	1	Units and proof	One representation a day	[pass] learning is counted by exposure, not by demonstrated capability	teach each idea one way only to reduce load	multimedia learning research (Mayer) argues for more than one	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	rejected: contradicted by evidence	[pass] delayed unaided far-transfer items	[computed] One-missing-step entry; One idea per session	O4901 O4413	KNOWN	R:EVID
L009	1	Units and proof	Question, not topic	[pass] learning is counted by exposure, not by demonstrated capability	a session is named by the question it answers	curiosity research (Gruber 2014)	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Question lineage cards; Great-question door	O5304 O5307	KNOWN	[computed] M:Capability as the unit
L010	1	Units and proof	Protégé effect	[pass] learning is counted by exposure, not by demonstrated capability	learner teaches a simulated novice	Betty's Brain (Biswas)	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Generation effect; Peer-review simulation	L305 L194	KNOWN	[computed] M:Confidence on every answer
L011	1	Units and proof	Rebuild test	[pass] learning is counted by exposure, not by demonstrated capability	the learner reconstructs the model with the lesson hidden	generation/reconstruction tasks	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Explorable model as the unit; Hidden machinery	L041 L148	KNOWN	S
L012	1	Units and proof	Label after concept	[pass] learning is counted by exposure, not by demonstrated capability	technical terms only after the idea exists	concept-before-label pedagogy	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Assimilation test; Definitions after concepts	O5602 L362	KNOWN	S
L013	1	Units and proof	Explain-to-a-child check	[pass] learning is counted by exposure, not by demonstrated capability	compress an idea for a novice	Feynman-technique folklore	[pass] courses count hours and completions	[pass] credit only for capability shown unaided and later	L	L	[pass] slower visible progress	[pass] delayed unaided far-transfer items	[computed] Three-encoding check; Invasive-idea check	L111 O7015	KNOWN	[computed] M:Predict before tell
L014	2	Cross-domain mapping	Mechanism-indexed map	[pass] ideas stay inside the field that taught them	one mechanism shown across war, medicine, music, business	"mental models" lists; complexity science	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Art and science pairing; Medicine as a mechanism donor	O5007 O5005	KNOWN	S
L015	2	Cross-domain mapping	Problem-first tours	[pass] ideas stay inside the field that taught them	a real problem pulls in whatever fields it needs	problem-based learning	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Failure-first; Alien problem protocol	L050 O6007	KNOWN	[computed] M:Mechanism-indexed map
L016	2	Cross-domain mapping	Domain distance score	[pass] ideas stay inside the field that taught them	each transfer item tagged by how far it travels	Barnett & Ceci taxonomy	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Domain entry cost; Analogical distance ladder	O4518 L322	KNOWN	S
L017	2	Cross-domain mapping	Dependency timeline	[pass] ideas stay inside the field that taught them	ideas ordered by dependency, not discipline	concept maps	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	rejected: cannot be measured	[pass] far-transfer items across fields	[computed] Gossip; Cultural evolution of ideas	L175 L412	KNOWN	R:UNTEST
L018	2	Cross-domain mapping	Analogy pair as the unit	[pass] ideas stay inside the field that taught them	two analogs taught together	analogical encoding (Gentner)	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Schema induction; Case contrast as the unit	L313 L042	KNOWN	[computed] M:Same-shape detector
L019	2	Cross-domain mapping	Same-shape detector	[pass] ideas stay inside the field that taught them	three cases; which two share structure?	odd-one-out category learning	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Case contrast as the unit; Alien pairs	L042 O5216	KNOWN	S
L020	2	Cross-domain mapping	Discipline lens toggle	[pass] ideas stay inside the field that taught them	the same event through economics, psychology, history	multiple-perspectives teaching	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Lens toggle; Time-scale switching	O5501 L382	KNOWN	S
L021	2	Cross-domain mapping	Hide subject labels	[pass] ideas stay inside the field that taught them	remove subject names from the UI	interdisciplinary curricula	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	rejected: decoration or gamification	[pass] far-transfer items across fields	[computed] Dead-content elimination; Creation with a user	L161 O5811	KNOWN	R:SLOP
L022	2	Cross-domain mapping	World map of primitives	[pass] ideas stay inside the field that taught them	a map of mechanisms instead of a course list	knowledge maps (Khan)	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Book → primitives; World-model gap map	L126 O5610	KNOWN	[computed] M:Mechanism-indexed map
L023	2	Cross-domain mapping	Borrowed rigor	[pass] ideas stay inside the field that taught them	each mechanism paired with its strongest native formalism	mixed-methods research	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Taste + mechanism; Mechanism genealogy	L457 O4510	KNOWN	S
L024	2	Cross-domain mapping	Anti-silo hooks	[pass] ideas stay inside the field that taught them	warm-ups come from other sessions than today's	interleaving (Brunmair & Richter)	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Prefetch; Import other curricula's sessions	L132 L035	KNOWN	S
L025	2	Cross-domain mapping	Question genealogy	[pass] ideas stay inside the field that taught them	trace a question across fields	history of ideas	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Concept genealogy; Question lineage cards	L378 O5304	KNOWN	[computed] M:Mechanism-indexed map
L026	2	Cross-domain mapping	Primitive × domain matrix	[pass] ideas stay inside the field that taught them	find empty cells and fill them	Mendeleev-style gap search	[pass] departments teach in silos	[pass] mechanisms recognised across fields	L	M	[pass] false analogies	[pass] far-transfer items across fields	[computed] Case finder; Verified pairs P(t)	L497 O6301	KNOWN	S
L027	3	Curriculum shape	Seasons, not courses	[pass] courses are fixed sequences sized for institutions	six primitives per season; no final exam	serial media	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Semester final; Spiral reuse	O4120 L065	KNOWN	S
L028	3	Curriculum shape	Just-in-time primitive	[pass] courses are fixed sequences sized for institutions	teach when life presents the problem	JIT learning	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Backpressure; Speciation	L179 L082	KNOWN	S
L029	3	Curriculum shape	Retirement rule	[pass] courses are fixed sequences sized for institutions	retire a primitive when delayed far transfer is steady	mastery learning (Bloom)	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Idea retirement ceremony; Transfer without cue	O5620 O6016	KNOWN	S
L030	3	Curriculum shape	Weakness-driven graph walk	[pass] courses are fixed sequences sized for institutions	next topic chosen by weakest node	adaptive learning platforms	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	rejected: renamed existing idea	[pass] season-level delayed results	[computed] Adjacent field suggestion; Adjacent-possible choice	O5017 O6207	KNOWN	R:DUP
L031	3	Curriculum shape	Rolling syllabus	[pass] courses are fixed sequences sized for institutions	season rewritten weekly from evidence	agile curricula	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Evidence ledger; Syllabus as hypothesis	L484 O4103	KNOWN	[computed] M:No completion bars
L032	3	Curriculum shape	Micro-season	[pass] courses are fixed sequences sized for institutions	three sessions for one hard idea	micro-credentials	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Season compiler; One idea per session	L157 O4413	KNOWN	S
L033	3	Curriculum shape	Discovered prerequisites	[pass] courses are fixed sequences sized for institutions	prerequisites found only when the learner fails	prerequisite compression	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Formalism on request; Reality veto	L350 O4216	KNOWN	S
