id	name	generator (first pass, 11 generators)	fit	after adding G12–G14
L108	Redundant encoding	G10	clean	G10
L071	Symbiosis with medicine	—	none	G12 (straddles G8)
L027	Seasons, not courses	G4	loose	G4
O5401	Belief ledger	G1	clean	G1
L315	Expertise reversal	G11	clean	G11
O4813	New-medium probe	G10	clean	G10
L257	Music institutions	G3	loose	G3
O5618	Hook budget cap	G8	clean	G8
L055	Moment prompts	—	none	G12
L163	Static analysis	—	none	G13
L493	No-amputation archive	G9	loose	G9
O4801	Representation per cause	G5	clean	G5
O6718	Orders-of-magnitude ladder	G10	clean	G10
L337	Circadian timing	G8	clean	G8
L312	Bounded self-explanation	G1	loose	G13
L182	Partition tolerance	—	none	G14
O6111	Real-case boss	G2	clean	G2
O6608	Typographic hierarchy	G10	clean	G10
O4116	Age-grade escape	G2	clean	G2
O6215	Unread-classics guilt removal	G8	clean	G8
