# pass | candidate | mechanism (one line) | nearest prior art | verdict  (S = kept for crossbreeding · M = merged into a stronger one · R:<why> = rejected)
# rejection codes: DUP renamed existing idea · EVID contradicted by evidence · COST cost > value · TAX open-ended thinking tax · SLOP decoration/gamification · GUILT backlog/streak pressure · ADDICT manufactured compulsion · TRUTH fabrication risk · COPY rights problem · SCOPE outside the mission · UNTEST cannot be measured
1 | Capability as the unit | the curriculum unit is a reusable mechanism, not a topic or a book | competency-based education; threshold concepts (Meyer & Land) | S
1 | Predict before tell | every idea opens with a committed prediction | predict-observe-explain; productive failure (Kapur) | S
1 | Error as an address | each wrong option points to a named misconception with its repair | bug libraries in ITS (Brown & Burton, BUGGY) | S
1 | Delayed proof | nothing counts as learned until shown unaided days later | retention tests; spacing research | S
1 | Transfer as the only credit | a skill is credited only when used in a new domain | transfer assessment (Barnett & Ceci) | S
1 | Minimum effective dose | compute the smallest session that changes capability; stop there | time-boxing; none precise | S
1 | Confidence on every answer | the learner stakes a confidence; honesty is scored | certainty-based marking (Gardner-Medwin) | S
1 | One representation a day | teach each idea one way only to reduce load | — | R:EVID
1 | Question, not topic | a session is named by the question it answers | curiosity research (Gruber 2014) | M
1 | Protégé effect | learner teaches a simulated novice | Betty's Brain (Biswas) | M
1 | Rebuild test | the learner reconstructs the model with the lesson hidden | generation/reconstruction tasks | S
1 | Label after concept | technical terms only after the idea exists | concept-before-label pedagogy | S
1 | Explain-to-a-child check | compress an idea for a novice | Feynman-technique folklore | M
2 | Mechanism-indexed map | one mechanism shown across war, medicine, music, business | "mental models" lists; complexity science | S
2 | Problem-first tours | a real problem pulls in whatever fields it needs | problem-based learning | M
2 | Domain distance score | each transfer item tagged by how far it travels | Barnett & Ceci taxonomy | S
2 | Dependency timeline | ideas ordered by dependency, not discipline | concept maps | R:UNTEST
2 | Analogy pair as the unit | two analogs taught together | analogical encoding (Gentner) | M
2 | Same-shape detector | three cases; which two share structure? | odd-one-out category learning | S
2 | Discipline lens toggle | the same event through economics, psychology, history | multiple-perspectives teaching | S
2 | Hide subject labels | remove subject names from the UI | — | R:SLOP
2 | World map of primitives | a map of mechanisms instead of a course list | knowledge maps (Khan) | M
2 | Borrowed rigor | each mechanism paired with its strongest native formalism | — | S
2 | Anti-silo hooks | warm-ups come from other sessions than today's | interleaving (Brunmair & Richter) | S
2 | Question genealogy | trace a question across fields | history of ideas | M
2 | Primitive × domain matrix | find empty cells and fill them | Mendeleev-style gap search | S
3 | Seasons, not courses | six primitives per season; no final exam | serial media | S
3 | Just-in-time primitive | teach when life presents the problem | JIT learning | S
