rank	id	score	name
1	O4402	12	Minutes per click
2	L488	11	Kill switch as pedagogy
3	O4301	11	Three-boxes drill
4	O4306	11	Forge from graded parts
5	O4312	11	Cause-typed repair router
6	O4319	11	Complexity meter
7	O4401	11	Click-event candidate
8	O4404	11	Evidence-only receipt
9	O4518	11	Domain entry cost
10	O4601	11	Capability atoms
11	O4807	11	Same data, two charts
12	O4902	11	Wormhole cases
13	O5016	11	Mechanism passport
14	O5401	11	Belief ledger
15	O5504	11	Scale switch
16	O6409	11	Short-dose continuation
17	L001	10	Capability as the unit
18	L002	10	Predict before tell
19	L004	10	Delayed proof
20	L006	10	Minimum effective dose
21	L007	10	Confidence on every answer
22	L011	10	Rebuild test
23	L012	10	Label after concept
24	L053	10	Hooks inside later sessions
25	L054	10	Life-as-lab forge
26	L064	10	Primitives inside medicine
27	L144	10	Priority scheduler
28	L146	10	Kill switch
29	L274	10	Visible opportunity cost
30	L278	10	Primitive portfolio
31	L287	10	Proper scoring rule
32	L288	10	No composite score
33	L293	10	No answer-giving AI
34	L300	10	Implementation intentions
35	L303	10	Hypercorrection repair
36	L305	10	Generation effect
37	L326	10	Curiosity first
38	L327	10	Prediction error
39	L355	10	Thought experiments as models
40	L357	10	Belief version control
41	L391	10	A constitution
42	L396	10	Appeals
43	L403	10	Constitutional kill switch
44	L418	10	Progressive disclosure
45	L420	10	Friction detector
46	L423	10	Dark-pattern ban
47	L429	10	Provenance on demand
48	L443	10	Calibration curve
49	L444	10	What would change my mind?
50	L483	10	Learner's data as cases
51	L484	10	Evidence ledger
52	L489	10	Life-minutes accounting
53	L490	10	Stop as reward
54	L491	10	Donor-organ architecture
55	L494	10	Reality taps
56	L508	10	Learner authors sessions
57	L509	10	Learner builds models
58	O4108	10	Wrongness as tuition
59	O4201	10	Primary-number rule
60	O4303	10	Egyptian-Arabic sticky line
61	O4307	10	One decision per screen
62	O4313	10	Minimum sufficient model board
63	O4413	10	One idea per session
64	O4603	10	Periodic groups by operation
65	O4605	10	Compound capabilities
66	O4702	10	Base-rate sense
67	O4718	10	Blind-spot sense
68	O4804	10	Counts-first images
69	O4904	10	Conceptual zip bomb
70	O5106	10	Intuition audit
71	O5202	10	Alien domain monthly
72	O5301	10	Question value test
73	O5403	10	Idea antigen test
74	O5602	10	Assimilation test
75	O5603	10	Idea states
76	O5618	10	Hook budget cap
77	O6301	10	Verified pairs P(t)
78	O6304	10	Objective as a vector
79	O6503	10	Meta-pedagogy log
80	O6617	10	Ecology succession
81	O6804	10	Morbidity and mortality review
82	L014	9	Mechanism-indexed map
83	L019	9	Same-shape detector
84	L028	9	Just-in-time primitive
85	L029	9	Retirement rule
86	L033	9	Discovered prerequisites
87	L040	9	Decisive question as the unit
88	L041	9	Explorable model as the unit
89	L042	9	Case contrast as the unit
90	L044	9	Primary artifact as the unit
91	L046	9	Faded examples
92	L048	9	Debug a wrong explanation
93	L063	9	Sketch it
94	L065	9	Spiral reuse
